id_port_1,H3_int_8
PENSACOLA,613691492512301055
MOBILE,613691315577683967
MOBILE,613691315567198207
PASCAGOULA,613691355446640639
PASCAGOULA,613691355450834943
BILOXI,613691676453502975
GULFPORT,613691662121566207
GULFPORT,613691662129954815
GULFPORT,613691662117371903
SLIDELL,613691706784612351
MADISONVILLE,613690656811909119
SOUTHWEST PASS,613693640780283903
SOUTHWEST PASS,613693640782381055
PORT SULPHUR,613693736347500543
GRETNA,613690649987776511
NEW ORLEANS,613690646059810815
PORT OF MEMPHIS,613164213535244287
PORT OF MEMPHIS,613164213614936063
PORT OF MEMPHIS,613164213554118655
TRI-CITY PORT,613162505010675711
TRI-CITY PORT,613162505000189951
TRI-CITY PORT,613162505008578559
ST. JAMES,613690672156770303
CONVENT,613690673972903935
CONVENT,613690673985486847
CONVENT,613690673977098239
ST ROSE,613690635286740991
RESERVE,613690628550688767
RESERVE,613690628569563135
DESTREHAN,613690635278352383
BATON ROUGE,613690267964276735
LOOP TERMINAL,613693760674463743
GRAND ISLE,613693764531126271
MORGAN CITY,613690508320964607
HAYMARK TERMINAL,613693398397747199
HAYMARK TERMINAL,613693398332735487
LAKE CHARLES,613690607614820351
LAKE CHARLES,613693397827321855
SABINE,613693413904089087
SABINE PASS,613693413665013759
SABINE PASS,613693414103318527
ORANGE,613693379359801343
PORT ARTHUR,613693381977047039
PORT ARTHUR,613693415007191039
PORT NECHES,613693382790742015
PORT NECHES,613693377864531967
BEAUMONT,613693378822930431
BEAUMONT,613693422529675263
GALVESTON,613693291633836031
GALVESTON,613693291694653439
TEXAS CITY,613693292585943039
TEXAS CITY,613693292646760447
